time,irradiance,H_sun,T2m,WS10m,Int,irradianceTotal
20230118:1710,0,0,1.53,3.45,0,0
20230118:1810,0,0,0.72,3.24,0,0
20230118:1910,0,0,0.5,3.17,0,0
20230118:2010,0,0,0.08,2.9,0,0
20230118:2110,0,0,-0.25,2.76,0,0
20230118:2210,0,0,-0.46,2.83,0,0
20230118:2310,0,0,-0.46,2.76,0,0
20230119:0010,0,0,-0.55,2.69,0,0
20230119:0110,0,0,-0.78,2.62,0,0
20230119:0210,0,0,-0.96,2.41,0,0
20230119:0310,0,0,-1.4,2.21,0,0
20230119:0410,0,0,-1.89,2,0,0
20230119:0510,0,0,-2.3,1.79,0,0
20230119:0610,0,0,-2.15,1.59,0,0
20230119:0710,0,0,-2.19,1.72,0,0
20230119:0810,0,0,-2.02,1.72,0,0
20230119:0910,272.61,7.07,-1.47,1.59,0,98139.6
20230119:1010,434.41,12.77,0.29,1.24,0,156387.6
20230119:1110,619,16.58,2.69,1.66,0,222840
20230119:1210,599.01,18.16,3.39,2.34,0,215643.6
20230119:1310,627.82,17.36,3.7,2.55,0,226015.2
20230119:1410,526.92,14.24,3.76,2.55,0,189691.2
20230119:1510,333.52,9.12,3.52,2.14,0,120067.2
20230119:1610,1.81,2.38,2.6,2.07,0,651.6
20230119:1710,0,0,1.04,2.28,0,0
20230119:1810,0,0,-0.1,2.48,0,0
20230119:1910,0,0,-0.47,2.69,0,0
20230119:2010,0,0,-0.78,2.69,0,0
20230119:2110,0,0,-1.03,2.69,0,0
20230119:2210,0,0,-1.17,2.76,0,0
20230119:2310,0,0,-1.13,2.9,0,0
20230120:0010,0,0,-1,2.97,0,0
20230120:0110,0,0,-0.88,2.97,0,0
20230120:0210,0,0,-0.83,2.9,0,0
20230120:0310,0,0,-0.73,3.03,0,0
20230120:0410,0,0,-0.5,3.1,0,0
20230120:0510,0,0,-0.5,3.03,0,0
20230120:0610,0,0,-0.46,2.9,0,0
20230120:0710,0,0,-0.58,2.62,0,0
20230120:0810,0,0,-0.96,2.62,0,0
20230120:0910,234.23,7.22,-0.77,2.48,0,84322.8
20230120:1010,418.72,12.94,1.13,2.14,0,150739.2
20230120:1110,608.52,16.77,3.25,2.07,0,219067.2
20230120:1210,655.08,18.37,4.3,2.34,0,235828.8
20230120:1310,627.27,17.58,4.82,2.62,0,225817.2
20230120:1410,527.27,14.47,4.98,2.55,0,189817.2
20230120:1510,352.91,9.34,4.65,2.14,0,127047.6
20230120:1610,7.24,2.6,3.49,2.14,0,2606.4
20230120:1710,0,0,1.73,2.28,0,0
20230120:1810,0,0,0.08,2.28,0,0
20230120:1910,0,0,-0.99,2.21,0,0
20230120:2010,0,0,-1.79,2.21,0,0
20230120:2110,0,0,-2.27,2.28,0,0
20230120:2210,0,0,-2.5,2.21,0,0
20230120:2310,0,0,-2.72,2.28,0,0
20230121:0010,0,0,-3,2.07,0,0
20230121:0110,0,0,-3.27,2.07,0,0
20230121:0210,0,0,-3.46,2.14,0,0
20230121:0310,0,0,-3.42,2.07,0,0
20230121:0410,0,0,-3.41,2.07,0,0
20230121:0510,0,0,-3.22,2.07,0,0
20230121:0610,0,0,-2.7,1.93,0,0
20230121:0710,0,0,-2.87,1.93,0,0
20230121:0810,0,0,-2.84,2,0,0
20230121:0910,49.27,7.39,-1.72,1.93,0,17737.2
20230121:1010,122.56,13.12,0.26,2,0,44121.6
20230121:1110,161.31,16.98,1.51,2.07,0,58071.6
20230121:1210,158.79,18.59,2.26,2.14,0,57164.4
20230121:1310,126.74,17.8,2.87,2.28,0,45626.4
20230121:1410,146.77,14.7,3.22,2.41,0,52837.2
20230121:1510,101.52,9.57,3.06,1.86,0,36547.2
20230121:1610,3.62,2.83,2.22,1.66,0,1303.2
20230121:1710,0,0,0.91,1.79,0,0
20230121:1810,0,0,-0.4,2,0,0
20230121:1910,0,0,-1.7,1.86,0,0
20230121:2010,0,0,-2.39,2,0,0
20230121:2110,0,0,-2.76,2.21,0,0
20230121:2210,0,0,-2.81,2.21,0,0
20230121:2310,0,0,-2.8,2.41,0,0
20230122:0010,0,0,-2.6,2.62,0,0
20230122:0110,0,0,-2.37,2.69,0,0
20230122:0210,0,0,-2.29,2.28,0,0
20230122:0310,0,0,-2.46,2.28,0,0
20230122:0410,0,0,-2.65,2.48,0,0
20230122:0510,0,0,-2.53,2.48,0,0
20230122:0610,0,0,-2.3,2.48,0,0
20230122:0710,0,0,-2.62,2.69,0,0
20230122:0810,0,0,-2.54,2.55,0,0
20230122:0910,166.09,7.55,-1.8,2.28,0,59792.4
20230122:1010,240.02,13.31,-0.44,2.14,0,86407.2
20230122:1110,308.07,17.18,1.31,2.14,0,110905.2
20230122:1210,210.97,18.81,2.52,2.14,0,75949.2
20230122:1310,169.6,18.04,3.31,2.41,0,61056
20230122:1410,218.47,14.93,3.86,2.34,0,78649.2
20230122:1510,72.39,9.8,3.47,2.28,0,26060.4
20230122:1610,5.43,3.05,2.39,2.48,0,1954.8
20230122:1710,0,0,0.76,2.69,0,0
20230122:1810,0,0,0.03,2.55,0,0
20230122:1910,0,0,0.44,2.14,0,0
20230122:2010,0,0,0.14,2.21,0,0
20230122:2110,0,0,-0.04,2.28,0,0
20230122:2210,0,0,-0.11,2.34,0,0
20230122:2310,0,0,-0.5,2.34,0,0
20230123:0010,0,0,-0.77,2.28,0,0
20230123:0110,0,0,-1.09,2.41,0,0
